,user_id,register_time,recently_logged,number_of_classes_join,number_of_classes_out,learn_time,school
0,用户44251,2020/6/18 9:49,2020/6/18 9:49,0,0,41.25,0
1,用户44250,2020/6/18 9:47,2020/6/18 9:48,0,0,0,0
2,用户44249,2020/6/18 9:43,2020/6/18 9:43,0,0,16.22,0
3,用户44248,2020/6/18 9:09,2020/6/18 9:09,0,0,0,0
4,用户44247,2020/6/18 7:41,2020/6/18 8:15,0,0,1.8,0
5,用户44246,2020/6/17 22:36,2020/6/17 22:36,0,0,48.92,0
6,用户44245,2020/6/17 22:16,2020/6/17 22:16,0,0,0.18,0
7,用户44244,2020/6/17 20:59,2020/6/17 21:34,0,0,0,0
8,用户44243,2020/6/17 20:33,2020/6/17 20:34,0,0,297.47,0
9,用户44242,2020/6/17 18:13,2020/6/17 18:13,0,0,0,0
10,用户44241,2020/6/17 17:49,2020/6/17 17:49,0,0,0,0
11,用户44240,2020/6/17 17:25,2020/6/17 17:25,1,0,"1,667.28",0
12,用户44239,2020/6/17 17:24,2020/6/17 17:24,1,0,"2,109.75",0
13,用户44238,2020/6/17 16:48,2020/6/17 16:48,0,0,263.2,0
14,用户44235,2020/6/17 16:39,2020/6/17 16:39,1,0,0,0
15,用户44237,2020/6/17 16:39,2020/6/17 16:39,1,0,"10,348.62",0
16,用户44232,2020/6/17 16:39,2020/6/17 16:39,1,0,"9,054.72",0
17,用户44233,2020/6/17 16:39,2020/6/17 16:39,1,0,"11,073.58",0
18,用户44234,2020/6/17 16:39,2020/6/17 16:39,1,0,"4,479.35",0
19,用户44231,2020/6/17 16:16,2020/6/17 16:16,0,0,0.45,0
20,用户44230,2020/6/17 14:08,2020/6/17 14:09,0,0,1.33,0
21,用户44229,2020/6/17 14:00,2020/6/17 14:00,0,0,0,0
22,用户44228,2020/6/17 12:02,2020/6/17 12:02,0,0,2.1,0
23,用户44227,2020/6/17 11:43,2020/6/17 11:43,0,0,4.92,0
24,用户44226,2020/6/17 10:41,2020/6/17 10:42,0,0,0.45,0
25,用户44225,2020/6/17 10:29,2020/6/17 10:30,0,0,0,0
26,用户44224,2020/6/17 10:26,2020/6/17 10:27,0,0,0.98,0
27,用户44223,2020/6/17 10:13,2020/6/17 10:14,0,0,4.07,0
28,用户44222,2020/6/17 10:05,2020/6/17 10:05,0,0,0,0
29,用户44221,2020/6/17 9:32,2020/6/17 9:32,0,0,109.47,0
30,用户44220,2020/6/17 9:26,2020/6/17 9:34,0,0,10.23,0
31,用户44219,2020/6/17 9:23,2020/6/17 9:23,0,0,0.55,0
32,用户44218,2020/6/17 9:07,2020/6/17 9:07,0,0,0,0
33,用户44217,2020/6/17 8:54,2020/6/17 8:54,0,0,0,0
34,用户44216,2020/6/17 8:31,2020/6/17 8:31,0,0,0.32,0
35,用户44215,2020/6/16 21:08,2020/6/16 21:09,0,0,0.17,0
36,用户44214,2020/6/16 19:24,2020/6/16 19:24,0,0,22.55,0
37,用户44213,2020/6/16 19:20,2020/6/16 19:20,0,0,0,0
38,用户44212,2020/6/16 18:32,2020/6/16 18:32,0,0,0,0
39,用户44211,2020/6/16 17:43,2020/6/16 17:44,0,0,1.7,0
40,用户44210,2020/6/16 17:43,2020/6/16 17:43,0,0,4.83,0
41,用户44209,2020/6/16 17:35,2020/6/16 17:48,0,0,0.2,0
42,用户44208,2020/6/16 17:12,2020/6/16 17:13,0,0,14.75,0
43,用户44207,2020/6/16 17:09,2020/6/16 18:12,0,0,506.37,0
44,用户44206,2020/6/16 16:48,2020/6/16 16:49,0,0,0.1,0
45,用户44205,2020/6/16 16:28,2020/6/16 16:28,0,0,11.87,0
46,用户44204,2020/6/16 16:26,2020/6/17 17:18,0,0,170.88,0
47,用户44203,2020/6/16 15:59,2020/6/16 15:59,0,0,232.87,0
48,用户44202,2020/6/16 15:39,2020/6/16 15:39,0,0,0,0
49,用户44201,2020/6/16 15:36,2020/6/16 15:36,0,0,17.92,0
50,用户44200,2020/6/16 15:34,2020/6/16 15:54,0,0,0,0
51,用户44199,2020/6/16 15:28,2020/6/16 15:29,0,0,0.92,0
52,用户44198,2020/6/16 15:28,2020/6/17 21:04,1,0,"1,719.77",0
53,用户44197,2020/6/16 15:21,2020/6/16 15:21,1,0,0,0
54,用户44196,2020/6/16 14:47,2020/6/16 14:48,0,0,0,0
55,用户44195,2020/6/16 14:28,2020/6/16 14:28,0,0,0,0
56,用户44194,2020/6/16 10:44,2020/6/16 10:45,0,0,0.22,0
57,用户44193,2020/6/16 10:26,2020/6/16 10:27,0,0,0.53,0
58,用户44190,2020/6/16 10:26,2020/6/16 10:50,1,0,161.4,0
59,用户44192,2020/6/16 10:26,2020/6/16 10:39,1,0,"2,108.80",0
60,用户44187,2020/6/16 10:26,2020/6/17 21:59,1,0,"6,746.15",0
61,用户44189,2020/6/16 10:26,2020/6/16 10:26,1,0,"8,608.28",0
62,用户44185,2020/6/16 10:20,2020/6/16 10:20,0,0,0,0
63,用户44184,2020/6/16 10:02,2020/6/17 21:58,0,0,489.55,0
64,用户44183,2020/6/16 9:53,2020/6/16 10:51,0,0,0,0
65,用户44182,2020/6/16 9:51,2020/6/16 9:51,0,0,12.95,0
66,用户44181,2020/6/16 9:51,2020/6/16 9:51,0,0,86.6,0
67,用户44179,2020/6/16 9:29,2020/6/16 9:54,2,1,27.32,0
68,用户44178,2020/6/16 9:29,2020/6/16 9:29,0,0,2.2,0
69,用户44177,2020/6/16 8:16,2020/6/16 8:16,0,0,0,0
70,用户44176,2020/6/15 23:35,2020/6/15 23:35,0,0,0,0
71,用户44175,2020/6/15 23:23,2020/6/15 23:24,0,0,0,0
72,用户44174,2020/6/15 22:06,2020/6/15 22:06,0,0,1.92,0
73,用户44173,2020/6/15 21:15,2020/6/16 9:46,0,0,535.57,0
74,用户44172,2020/6/15 20:04,2020/6/15 20:04,0,0,132.5,0
75,用户44171,2020/6/15 19:06,2020/6/15 19:07,1,0,0,0
76,用户44170,2020/6/15 18:52,2020/6/15 18:53,0,0,104.12,0
77,用户44169,2020/6/15 17:05,2020/6/15 17:05,0,0,9.23,0
78,用户44164,2020/6/15 16:45,2020/6/16 16:42,1,0,61.35,广东轻工职业技术学院
79,用户44165,2020/6/15 16:45,2020/6/16 12:28,1,0,53.67,广东轻工职业技术学院
80,用户44166,2020/6/15 16:45,2020/6/17 21:47,1,0,234.07,广东轻工职业技术学院
81,用户44167,2020/6/15 16:45,2020/6/15 20:06,1,0,354.97,广东轻工职业技术学院
82,用户44168,2020/6/15 16:45,2020/6/16 23:34,1,0,170.65,广东轻工职业技术学院
83,用户44163,2020/6/15 16:45,2020/6/17 14:52,2,1,475.3,广东轻工职业技术学院
84,用户44162,2020/6/15 16:06,2020/6/15 16:13,0,0,0,0
85,用户44161,2020/6/15 15:52,2020/6/15 15:52,0,0,0,0
86,用户44160,2020/6/15 15:49,2020/6/15 15:49,0,0,4.62,0
87,用户44159,2020/6/15 15:47,2020/6/18 9:30,1,0,"11,222.57",0
88,用户44158,2020/6/15 15:43,2020/6/17 16:30,0,0,396.55,0
89,用户44157,2020/6/15 15:25,2020/6/15 15:25,0,0,0.38,0
90,用户44156,2020/6/15 15:01,2020/6/17 8:50,0,0,"1,175.67",0
91,用户44155,2020/6/15 14:59,2020/6/17 14:05,1,0,"1,115.88",0
92,用户44154,2020/6/15 14:19,2020/6/15 14:22,0,0,2.32,0
93,用户44151,2020/6/15 14:14,2020/6/15 14:14,1,0,"1,816.72",0
94,用户44153,2020/6/15 14:14,2020/6/18 9:27,2,0,"5,448.85",0
95,用户44150,2020/6/15 13:53,2020/6/17 14:44,1,0,"14,057.97",0
96,用户44145,2020/6/15 13:53,2020/6/16 19:30,1,0,"1,058.83",0
97,用户44146,2020/6/15 13:53,2020/6/17 17:58,1,0,"13,806.07",0
98,用户44148,2020/6/15 13:53,2020/6/15 13:53,1,0,"1,130.40",0
99,用户44144,2020/6/15 13:46,2020/6/15 14:02,1,0,655.63,0
100,用户44143,2020/6/15 13:02,2020/6/15 13:02,0,0,28.05,0
101,用户44142,2020/6/15 12:14,2020/6/16 8:56,0,0,563.57,0
102,用户44141,2020/6/15 10:49,2020/6/15 10:49,0,0,0,0
103,用户44140,2020/6/15 10:25,2020/6/17 9:41,0,0,755.63,0
104,用户44139,2020/6/15 10:20,2020/6/15 10:21,0,0,0,0
105,用户44138,2020/6/15 9:48,2020/6/15 9:49,0,0,0.13,0
106,用户44137,2020/6/15 9:44,2020/6/17 10:43,0,0,996.92,0
107,用户44136,2020/6/15 9:43,2020/6/15 10:05,0,0,27.73,0
108,用户44135,2020/6/15 9:34,2020/6/15 9:35,0,0,0.98,0
109,用户44134,2020/6/15 2:37,2020/6/15 2:56,0,0,13.82,0
110,用户44133,2020/6/14 22:52,2020/6/14 22:52,0,0,0,0
111,用户44132,2020/6/14 21:28,2020/6/14 21:30,0,0,165.92,0
112,用户44131,2020/6/14 19:48,2020/6/14 19:48,0,0,0.93,0
113,用户44130,2020/6/14 18:40,2020/6/14 18:41,0,0,11.53,0
114,用户44129,2020/6/14 16:58,2020/6/14 16:58,0,0,114.4,0
115,用户44128,2020/6/14 16:28,2020/6/14 16:29,0,0,0,0
116,用户44127,2020/6/14 15:46,2020/6/14 15:47,0,0,0.4,0
117,用户44126,2020/6/14 15:35,2020/6/14 15:36,0,0,26.05,0
118,用户44125,2020/6/14 14:50,2020/6/14 14:50,0,0,294.57,0
119,用户44124,2020/6/14 13:22,2020/6/14 13:23,0,0,1.02,0
120,用户44123,2020/6/14 13:10,2020/6/14 13:11,0,0,0,0
121,用户44122,2020/6/14 12:26,2020/6/14 12:26,0,0,0,0
122,用户44121,2020/6/14 11:03,2020/6/14 11:04,0,0,6.95,0
123,用户44120,2020/6/14 10:46,2020/6/14 10:47,0,0,0,0
124,用户44119,2020/6/14 10:40,2020/6/14 10:40,0,0,60.02,0
125,用户44118,2020/6/13 23:47,2020/6/14 17:48,0,0,221.95,0
126,用户44117,2020/6/13 22:43,2020/6/13 23:14,0,0,293.72,0
127,用户44116,2020/6/13 22:41,2020/6/13 22:41,0,0,16,0
128,用户44115,2020/6/13 22:00,2020/6/13 22:00,0,0,5.97,0
129,用户44114,2020/6/13 21:58,2020/6/15 15:49,0,0,0.58,0
130,用户44113,2020/6/13 18:15,2020/6/13 18:16,0,0,0,0
131,用户44112,2020/6/13 15:49,2020/6/13 15:49,0,0,0,0
132,用户44111,2020/6/13 15:42,2020/6/13 15:42,0,0,41.35,0
133,用户44110,2020/6/13 15:41,2020/6/13 15:41,0,0,1.52,0
134,用户44109,2020/6/13 14:41,2020/6/15 8:06,1,0,0,0
135,用户44108,2020/6/13 14:09,2020/6/13 14:09,0,0,0,0
136,用户44107,2020/6/12 21:32,2020/6/12 21:34,0,0,2.03,0
137,用户44106,2020/6/12 21:14,2020/6/12 21:15,0,0,68.05,0
138,用户44105,2020/6/12 19:57,2020/6/12 19:58,0,0,328.1,0
139,用户44104,2020/6/12 18:09,2020/6/12 18:12,0,0,1.02,0
140,用户44103,2020/6/12 18:05,2020/6/12 19:35,1,2,0,0
141,用户44102,2020/6/12 17:50,2020/6/17 19:29,1,0,"1,891.47",0
142,用户44100,2020/6/12 17:50,2020/6/17 18:27,1,0,"3,939.35",0
143,用户44101,2020/6/12 17:50,2020/6/17 22:41,1,0,"1,445.17",0
144,用户44097,2020/6/12 17:46,2020/6/18 8:28,1,0,796.45,0
145,用户44098,2020/6/12 17:46,2020/6/14 14:51,1,0,308.42,0
146,用户44099,2020/6/12 17:46,2020/6/16 12:38,1,0,"1,240.47",0
147,用户44091,2020/6/12 17:46,2020/6/18 7:54,1,0,"2,720.82",0
148,用户44092,2020/6/12 17:46,2020/6/16 12:41,1,0,784.1,0
149,用户44093,2020/6/12 17:46,2020/6/17 15:47,1,0,576.3,0
150,用户44094,2020/6/12 17:46,2020/6/17 19:00,1,0,"4,073.45",0
151,用户44095,2020/6/12 17:46,2020/6/12 17:46,1,0,0,0
152,用户44096,2020/6/12 17:46,2020/6/17 16:51,1,0,"1,554.57",0
153,用户44090,2020/6/12 17:46,2020/6/12 17:46,1,0,69.88,0
154,用户44089,2020/6/12 17:33,2020/6/17 20:04,1,0,89.67,0
155,用户44088,2020/6/12 17:19,2020/6/16 21:58,1,0,"3,673.65",0
156,用户44085,2020/6/12 17:17,2020/6/17 13:16,1,0,"1,267.32",0
157,用户44086,2020/6/12 17:17,2020/6/18 8:12,1,0,"2,727.23",0
158,用户44087,2020/6/12 17:17,2020/6/15 19:56,1,0,954.83,0
159,用户44084,2020/6/12 17:14,2020/6/12 17:14,1,0,0,0
160,用户44080,2020/6/12 17:08,2020/6/17 15:15,1,0,"1,790.33",0
161,用户44081,2020/6/12 17:08,2020/6/18 0:28,1,0,"2,085.62",0
162,用户44082,2020/6/12 17:08,2020/6/18 0:31,1,0,"7,422.65",0
163,用户44074,2020/6/12 17:08,2020/6/18 9:44,1,0,"1,441.37",0
164,用户44075,2020/6/12 17:08,2020/6/17 20:43,1,0,"1,595.20",0
165,用户44076,2020/6/12 17:08,2020/6/17 20:37,1,0,"1,724.23",0
166,用户44077,2020/6/12 17:08,2020/6/17 21:03,1,0,"1,752.57",0
167,用户44078,2020/6/12 17:08,2020/6/17 20:34,1,0,"4,713.00",0
168,用户44079,2020/6/12 17:08,2020/6/17 21:38,1,0,"7,361.30",0
169,用户44069,2020/6/12 17:08,2020/6/17 15:54,1,0,"3,477.95",0
170,用户44070,2020/6/12 17:08,2020/6/17 18:33,1,0,"2,702.38",0
171,用户44071,2020/6/12 17:08,2020/6/17 20:35,1,0,"1,638.90",0
172,用户44072,2020/6/12 17:08,2020/6/17 22:36,1,0,"1,059.35",0
173,用户44073,2020/6/12 17:08,2020/6/17 21:32,1,0,"1,504.25",0
174,用户44064,2020/6/12 17:08,2020/6/16 19:13,1,0,"4,316.90",0
175,用户44065,2020/6/12 17:08,2020/6/17 22:19,1,0,"1,434.98",0
176,用户44066,2020/6/12 17:08,2020/6/17 20:14,1,0,"2,004.48",0
177,用户44067,2020/6/12 17:08,2020/6/15 22:56,1,0,"2,836.32",0
178,用户44068,2020/6/12 17:08,2020/6/18 9:54,1,0,"1,858.72",0
179,用户44058,2020/6/12 17:08,2020/6/17 13:28,1,0,719.3,0
180,用户44059,2020/6/12 17:08,2020/6/15 9:50,1,0,227.55,0
181,用户44060,2020/6/12 17:08,2020/6/15 18:02,1,0,764.58,0
182,用户44061,2020/6/12 17:08,2020/6/15 21:19,1,0,"2,360.92",0
